Product Name,Sales,ABC_class,XYZ_class,Forecast_Error_Percent,has_forecast,risk_score
Perfect Fitness Perfect Rip Deck,4421143.14353786,A,X,5.3,True,7.0
Diamondback Women's Serene Classic Comfort Bi,4118425.571019,A,X,4.8,True,6.716981132075472
Nike Men's Free 5.0+ Running Shoe,3667633.19662996,A,X,4.6,True,6.60377358490566
Field & Stream Sportsman 16 Gun Fire Safe,6929653.690575,A,X,3.9,True,6.2075471698113205
Nike Men's Dri-FIT Victory Golf Polo,3147800.0,A,X,3.9,True,6.2075471698113205
Pelican Sunstream 100 Kayak,3099845.08525,A,X,2.7,True,5.528301886792453
Garmin Forerunner 910XT GPS Watch,13999.649657,C,Z,0.0,False,4.0
Titleist Club Glove Travel Cover,10199.6596668,C,Z,0.0,False,4.0
Stiga Master Series ST3100 Competition Indoor,8909.7297354,C,Z,0.0,False,4.0
GoPro HERO3+ Black Edition Camera,12799.6796864,C,Z,0.0,False,4.0
Diamondback Boys' Insight 24 Performance Hybr,8699.709715800002,C,Z,0.0,False,4.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,8399.7197256,C,Z,0.0,False,4.0
DVDs ,79395.5423667,C,Z,0.0,False,4.0
Garmin Approach S4 Golf GPS Watch,10799.6396472,C,Z,0.0,False,4.0
Pelican Maverick 100X Kayak,13999.599608,C,Z,0.0,False,4.0
Total Gym 1400,10799.6396472,C,Z,0.0,False,4.0
Web Camera,267607.685032,C,Z,0.0,False,4.0
Dell Laptop,663000.0,B,Y,0.0,False,4.0
Nike Men's Kobe IX Elite Low Basketball Shoe,12599.3703465,C,Y,0.0,False,3.0
Polar FT4 Heart Rate Monitor,17638.04005408,C,Y,0.0,False,3.0
MDGolf Pittsburgh Penguins Putter,11598.54988116,C,Y,0.0,False,3.0
TaylorMade 2014 Purelite Stand Bag,11699.3503575,C,Y,0.0,False,3.0
GolfBuddy VT3 GPS Watch,11799.4103245,C,Y,0.0,False,3.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,12096.0,C,Y,0.0,False,3.0
Garmin Approach S3 Golf GPS Watch,19249.2304235,C,Y,0.0,False,3.0
Sports Books ,12587.3999676,C,Y,0.0,False,3.0
Merrell Women's Grassbow Sport Hiking Shoe,20697.92999222,C,Y,0.0,False,3.0
Nike Men's Free TR 5.0 TB Training Shoe,20597.93996418,C,Y,0.0,False,3.0
LIJA Women's Mid-Length Panel Golf Shorts,22700.0,C,Y,0.0,False,3.0
Mio ALPHA Heart Rate Monitor/Sport Watch,13333.0,C,Y,0.0,False,3.0
Titleist Small Wheeled Travel Cover,13499.460297,C,Y,0.0,False,3.0
Bag Boy M330 Push Cart,16637.919929480002,C,Y,0.0,False,3.0
Cleveland Golf Collegiate My Custom Wedge 588,13649.3503575,C,Y,0.0,False,3.0
LIJA Women's Argyle Golf Polo,15600.0,C,Y,0.0,False,3.0
